کد محصول,شناسه دسته بندی,دسته بندی,جزئیات محصول ( دسته بندی ),واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,درجه شمارش,ضریب محصول,قیمت پایه محصول,موجودی محصول
rahsakht-1011055012011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011065001001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001007,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: نطنز",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065002003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: RST34، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011065002005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 5SP، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,304546,0
rahsakht-1011065002006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: RST34، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011065004002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 1006، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011080001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080002002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: RST34، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080002004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: RST34، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080003001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: 1008، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080003002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: 1008، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011086001001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8.6، گرید: 3SP، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,322728,0
